who_are_you,looking_for,relationship_type,self_description,preference,music_preference,relationship_values,deal_breakers
straight_male,straight_female,Something Serious,Extrovert,Night Owl,Rock,"Communication, Mutual respect, Independence, Shared interests",Political views
straight_female,straight_female,Something Serious,Somewhere in Between,Night Owl,Rock,"Shared interests, Mutual respect, Communication, Emotional support",Political views
straight_male,straight_male,Something Casual,Extrovert,Night Owl,Rock,"Emotional support, Independence, Communication, Shared interests",Smoking
straight_male,straight_male,Something Serious,Extrovert,Morning Person,Romantic Bollywood,Mutual respect,Drinking
straight_male,straight_female,Something Serious,Somewhere in Between,Morning Person,Rock,"Emotional support, Shared interests, Mutual respect, Trust and honesty, Communication, Independence",Religious views
straight_female,straight_male,Something Serious,Somewhere in Between,Night Owl,Pop,"Communication, Independence, Trust and honesty, Emotional support",Religious views
straight_female,straight_female,Something Serious,Introvert,Night Owl,Pop,"Independence, Communication, Trust and honesty, Shared interests, Mutual respect",Smoking
straight_female,straight_female,Something Serious,Somewhere in Between,Night Owl,Pop,"Trust and honesty, Emotional support, Shared interests",Smoking
straight_female,straight_male,Something Casual,Extrovert,Night Owl,Romantic Bollywood,"Shared interests, Trust and honesty, Independence, Mutual respect, Communication",Religious views
straight_male,straight_male,Something Serious,Somewhere in Between,Night Owl,Country,"Trust and honesty, Communication",Drinking
straight_male,straight_male,Something Casual,Extrovert,Night Owl,Rock,"Communication, Mutual respect, Shared interests, Emotional support, Independence",Smoking
straight_female,straight_male,Something Serious,Somewhere in Between,Morning Person,Pop,"Independence, Emotional support, Shared interests",Smoking
straight_male,lesbian,Something Serious,Somewhere in Between,Morning Person,Country,"Shared interests, Communication, Trust and honesty, Emotional support, Mutual respect",Smoking
straight_female,straight_male,Something Serious,Extrovert,Morning Person,Pop,"Communication, Shared interests, Trust and honesty, Mutual respect, Independence",Drinking
straight_male,bisexual,Something Casual,Somewhere in Between,Night Owl,Romantic Bollywood,"Communication, Shared interests, Independence, Mutual respect, Emotional support, Trust and honesty",Political views
straight_female,straight_male,Something Casual,Extrovert,Night Owl,Romantic Bollywood,"Shared interests, Communication, Emotional support, Independence",Religious views
straight_female,straight_female,Something Casual,Somewhere in Between,Night Owl,Pop,Trust and honesty,Drinking
lesbian,straight_male,Something Serious,Somewhere in Between,Night Owl,Rock,"Mutual respect, Independence, Communication, Emotional support, Trust and honesty",Drinking
queer,straight_female,Something Serious,Somewhere in Between,Night Owl,Country,"Independence, Mutual respect, Emotional support, Communication",Smoking
straight_male,straight_female,Something Casual,Somewhere in Between,Morning Person,Romantic Bollywood,"Independence, Trust and honesty, Shared interests, Mutual respect, Communication, Emotional support",Religious views
straight_male,straight_female,Something Serious,Introvert,Night Owl,Rock,"Mutual respect, Emotional support, Shared interests, Independence",Political views
straight_male,straight_male,Something Casual,Somewhere in Between,Night Owl,Romantic Bollywood,"Mutual respect, Communication, Emotional support, Shared interests, Independence",Drinking
straight_female,gay,Something Serious,Somewhere in Between,Night Owl,Romantic Bollywood,"Shared interests, Independence, Communication, Mutual respect",Religious views
straight_female,straight_male,Something Serious,Somewhere in Between,Night Owl,Country,"Independence, Trust and honesty, Emotional support, Shared interests, Communication",Smoking
straight_male,lesbian,Something Casual,Somewhere in Between,Morning Person,Pop,"Emotional support, Independence, Shared interests",Political views
straight_female,straight_female,Something Serious,Extrovert,Night Owl,Romantic Bollywood,"Mutual respect, Emotional support, Communication",Religious views
straight_female,straight_female,Something Casual,Extrovert,Night Owl,Romantic Bollywood,"Shared interests, Mutual respect, Emotional support, Independence, Trust and honesty",Smoking
straight_male,straight_male,Something Serious,Extrovert,Morning Person,Rock,"Trust and honesty, Mutual respect, Independence, Communication, Shared interests",Smoking
straight_female,straight_female,Something Casual,Somewhere in Between,Morning Person,Hollywood Rizz Songs,"Trust and honesty, Independence, Mutual respect, Emotional support, Shared interests, Communication",Political views
straight_male,straight_female,Something Serious,Extrovert,Night Owl,Classical,"Communication, Shared interests, Trust and honesty, Independence, Emotional support",Religious views
straight_male,straight_male,Something Serious,Somewhere in Between,Morning Person,Rock,"Mutual respect, Emotional support, Independence, Trust and honesty, Communication",Smoking
straight_male,straight_male,Something Serious,Introvert,Night Owl,Romantic Bollywood,"Communication, Independence, Emotional support",Drinking
straight_male,straight_male,Something Casual,Extrovert,Night Owl,Hollywood Rizz Songs,"Emotional support, Mutual respect",Drinking
straight_female,straight_female,Something Serious,Extrovert,Night Owl,Classical,"Shared interests, Communication",Religious views
straight_male,straight_female,Something Casual,Somewhere in Between,Night Owl,Pop,"Trust and honesty, Mutual respect, Communication",Religious views
straight_female,straight_male,Something Casual,Somewhere in Between,Morning Person,Rock,"Shared interests, Mutual respect, Emotional support",Political views
straight_female,straight_male,Something Casual,Somewhere in Between,Night Owl,Pop,"Emotional support, Mutual respect, Trust and honesty, Communication, Independence, Shared interests",Religious views
straight_female,straight_female,Something Serious,Somewhere in Between,Morning Person,Pop,"Emotional support, Mutual respect, Independence, Trust and honesty, Communication, Shared interests",Religious views
straight_male,straight_male,Something Casual,Somewhere in Between,Night Owl,Hollywood Rizz Songs,"Shared interests, Communication, Mutual respect, Trust and honesty, Independence, Emotional support",Drinking
straight_male,straight_male,Something Serious,Somewhere in Between,Morning Person,Romantic Bollywood,"Emotional support, Trust and honesty, Independence, Mutual respect, Communication",Political views
straight_male,straight_female,Something Casual,Somewhere in Between,Night Owl,Romantic Bollywood,Communication,Smoking
transgender,straight_female,Something Serious,Extrovert,Night Owl,Hollywood Rizz Songs,"Independence, Shared interests, Trust and honesty",Religious views
straight_male,straight_male,Something Serious,Introvert,Morning Person,Classical,"Independence, Communication, Shared interests, Trust and honesty, Emotional support, Mutual respect",Smoking
straight_male,straight_male,Something Serious,Somewhere in Between,Morning Person,Romantic Bollywood,"Trust and honesty, Emotional support",Smoking
straight_female,straight_male,Something Serious,Somewhere in Between,Night Owl,Classical,"Independence, Communication, Mutual respect, Trust and honesty",Religious views
straight_male,straight_male,Something Serious,Introvert,Night Owl,Country,"Mutual respect, Communication, Shared interests, Independence",Drinking
transgender,straight_female,Something Serious,Introvert,Night Owl,Rock,"Independence, Communication, Trust and honesty, Shared interests",Smoking
straight_male,straight_female,Something Serious,Somewhere in Between,Night Owl,Romantic Bollywood,"Independence, Emotional support, Mutual respect, Shared interests, Trust and honesty, Communication",Drinking
straight_male,straight_male,Something Casual,Somewhere in Between,Morning Person,Romantic Bollywood,"Independence, Mutual respect, Shared interests, Emotional support",Drinking
straight_male,straight_female,Something Casual,Somewhere in Between,Morning Person,Rock,Communication,Drinking
straight_male,straight_female,Something Serious,Somewhere in Between,Night Owl,Country,"Trust and honesty, Emotional support, Mutual respect, Shared interests, Communication, Independence",Smoking
straight_male,straight_male,Something Serious,Somewhere in Between,Night Owl,Romantic Bollywood,"Mutual respect, Emotional support, Communication, Independence",Smoking
straight_female,straight_male,Something Casual,Introvert,Night Owl,Country,"Trust and honesty, Shared interests, Communication",Political views
straight_male,straight_female,Something Serious,Introvert,Morning Person,Classical,Communication,Religious views
straight_male,straight_female,Something Serious,Extrovert,Night Owl,Romantic Bollywood,"Shared interests, Mutual respect",Drinking
straight_female,straight_male,Something Serious,Somewhere in Between,Night Owl,Romantic Bollywood,Shared interests,Drinking
straight_female,straight_male,Something Casual,Somewhere in Between,Night Owl,Rock,"Mutual respect, Independence",Drinking
straight_male,straight_female,Something Serious,Extrovert,Morning Person,Classical,"Shared interests, Trust and honesty, Communication",Religious views
straight_male,straight_male,Something Serious,Somewhere in Between,Night Owl,Country,"Shared interests, Mutual respect, Emotional support, Independence, Trust and honesty, Communication",Political views
straight_male,lesbian,Something Casual,Somewhere in Between,Morning Person,Romantic Bollywood,"Emotional support, Mutual respect, Communication, Independence, Shared interests, Trust and honesty",Drinking
straight_female,straight_male,Something Casual,Somewhere in Between,Night Owl,Romantic Bollywood,Shared interests,Political views
straight_male,straight_male,Something Serious,Somewhere in Between,Night Owl,Rock,"Trust and honesty, Mutual respect",Religious views
straight_male,straight_female,Something Serious,Introvert,Night Owl,Romantic Bollywood,"Independence, Shared interests, Communication, Emotional support, Mutual respect, Trust and honesty",Political views
straight_male,straight_female,Something Serious,Introvert,Night Owl,Hollywood Rizz Songs,"Trust and honesty, Communication",Political views
straight_female,straight_male,Something Serious,Somewhere in Between,Morning Person,Pop,"Independence, Emotional support, Trust and honesty, Communication",Smoking
straight_male,straight_female,Something Casual,Extrovert,Night Owl,Romantic Bollywood,"Shared interests, Communication, Trust and honesty, Independence",Drinking
straight_female,straight_female,Something Serious,Somewhere in Between,Night Owl,Pop,Independence,Smoking
straight_male,straight_female,Something Serious,Extrovert,Night Owl,Romantic Bollywood,"Mutual respect, Communication, Emotional support, Shared interests, Independence, Trust and honesty",Religious views
straight_female,straight_female,Something Serious,Somewhere in Between,Night Owl,Romantic Bollywood,Emotional support,Political views
straight_female,queer,Something Casual,Introvert,Morning Person,Romantic Bollywood,Communication,Political views
straight_female,straight_female,Something Serious,Somewhere in Between,Night Owl,Romantic Bollywood,"Independence, Shared interests, Communication, Trust and honesty",Smoking
straight_male,straight_female,Something Serious,Introvert,Night Owl,Rock,Independence,Drinking
straight_female,straight_male,Something Serious,Somewhere in Between,Night Owl,Romantic Bollywood,Independence,Drinking
straight_male,straight_female,Something Serious,Extrovert,Night Owl,Pop,"Emotional support, Shared interests, Mutual respect, Trust and honesty",Political views
straight_female,straight_male,Something Casual,Somewhere in Between,Night Owl,Rock,"Communication, Mutual respect",Religious views
straight_male,straight_male,Something Casual,Extrovert,Night Owl,Rock,"Trust and honesty, Independence, Mutual respect, Shared interests, Communication, Emotional support",Religious views
straight_male,straight_female,Something Casual,Somewhere in Between,Night Owl,Classical,"Emotional support, Communication",Drinking
straight_female,straight_female,Something Serious,Introvert,Night Owl,Classical,"Communication, Independence, Mutual respect",Drinking
straight_female,straight_female,Something Serious,Introvert,Night Owl,Classical,Independence,Smoking
bisexual,straight_female,Something Casual,Somewhere in Between,Night Owl,Pop,"Emotional support, Independence, Communication",Religious views
straight_male,straight_male,Something Serious,Somewhere in Between,Night Owl,Romantic Bollywood,"Mutual respect, Independence, Communication, Shared interests",Political views
straight_male,straight_male,Something Casual,Introvert,Night Owl,Romantic Bollywood,"Trust and honesty, Independence",Drinking
straight_male,transgender,Something Serious,Introvert,Morning Person,Country,"Trust and honesty, Emotional support, Communication",Political views
straight_male,straight_female,Something Serious,Somewhere in Between,Night Owl,Hollywood Rizz Songs,"Emotional support, Shared interests",Smoking
straight_female,straight_female,Something Serious,Somewhere in Between,Morning Person,Romantic Bollywood,"Trust and honesty, Emotional support, Shared interests, Communication, Mutual respect",Religious views
straight_female,straight_female,Something Serious,Introvert,Night Owl,Rock,"Communication, Independence, Shared interests, Trust and honesty, Emotional support, Mutual respect",Drinking
straight_male,straight_female,Something Serious,Somewhere in Between,Night Owl,Country,"Independence, Communication, Trust and honesty, Mutual respect, Shared interests, Emotional support",Smoking
straight_male,straight_male,Something Casual,Somewhere in Between,Night Owl,Classical,"Trust and honesty, Shared interests",Political views
straight_male,straight_male,Something Serious,Somewhere in Between,Night Owl,Hollywood Rizz Songs,"Independence, Communication, Mutual respect, Emotional support, Trust and honesty",Smoking
gay,straight_male,Something Serious,Somewhere in Between,Morning Person,Romantic Bollywood,"Trust and honesty, Communication, Mutual respect",Political views
straight_female,straight_male,Something Serious,Extrovert,Night Owl,Rock,"Mutual respect, Emotional support, Shared interests, Communication",Religious views
straight_male,straight_male,Something Serious,Extrovert,Night Owl,Country,"Mutual respect, Independence, Shared interests, Communication, Emotional support, Trust and honesty",Drinking
straight_female,straight_female,Something Serious,Somewhere in Between,Morning Person,Rock,"Trust and honesty, Emotional support",Drinking
straight_male,straight_female,Something Serious,Somewhere in Between,Morning Person,Romantic Bollywood,Trust and honesty,Drinking
straight_male,straight_male,Something Casual,Somewhere in Between,Night Owl,Hollywood Rizz Songs,"Communication, Mutual respect, Emotional support",Religious views
straight_female,straight_female,Something Serious,Extrovert,Morning Person,Rock,"Independence, Trust and honesty",Religious views
straight_male,straight_male,Something Casual,Introvert,Night Owl,Hollywood Rizz Songs,"Trust and honesty, Communication, Mutual respect",Political views
straight_female,straight_female,Something Casual,Somewhere in Between,Night Owl,Romantic Bollywood,"Independence, Emotional support, Communication, Shared interests",Religious views
straight_male,straight_male,Something Casual,Somewhere in Between,Night Owl,Classical,"Shared interests, Independence, Trust and honesty, Emotional support",Drinking
straight_female,straight_female,Something Casual,Somewhere in Between,Night Owl,Rock,Trust and honesty,Smoking
straight_female,queer,Something Serious,Introvert,Night Owl,Romantic Bollywood,"Communication, Independence, Trust and honesty",Smoking
straight_male,straight_male,Something Casual,Somewhere in Between,Morning Person,Romantic Bollywood,"Mutual respect, Trust and honesty, Communication, Emotional support, Shared interests",Smoking
straight_female,straight_male,Something Serious,Somewhere in Between,Night Owl,Romantic Bollywood,"Emotional support, Independence, Trust and honesty",Smoking
straight_male,straight_male,Something Casual,Somewhere in Between,Morning Person,Romantic Bollywood,Trust and honesty,Smoking
straight_male,straight_female,Something Serious,Extrovert,Morning Person,Rock,Shared interests,Religious views
straight_male,queer,Something Casual,Introvert,Night Owl,Romantic Bollywood,Trust and honesty,Religious views
straight_male,straight_female,Something Casual,Somewhere in Between,Night Owl,Rock,Shared interests,Drinking
straight_male,straight_female,Something Serious,Somewhere in Between,Morning Person,Classical,Communication,Political views
straight_female,straight_male,Something Casual,Somewhere in Between,Morning Person,Romantic Bollywood,"Communication, Shared interests, Trust and honesty, Emotional support, Mutual respect",Drinking
straight_male,straight_female,Something Serious,Introvert,Night Owl,Country,Trust and honesty,Drinking
straight_female,straight_female,Something Serious,Introvert,Night Owl,Classical,"Communication, Mutual respect, Shared interests, Independence, Trust and honesty, Emotional support",Religious views
lesbian,straight_male,Something Casual,Somewhere in Between,Night Owl,Romantic Bollywood,"Shared interests, Mutual respect, Trust and honesty, Communication",Smoking
straight_male,straight_female,Something Serious,Somewhere in Between,Morning Person,Hollywood Rizz Songs,"Independence, Mutual respect, Emotional support",Political views
straight_male,straight_female,Something Serious,Introvert,Night Owl,Pop,"Mutual respect, Emotional support, Communication",Political views
straight_female,straight_male,Something Casual,Extrovert,Night Owl,Hollywood Rizz Songs,"Shared interests, Mutual respect, Independence, Trust and honesty",Drinking
straight_male,straight_female,Something Casual,Somewhere in Between,Night Owl,Romantic Bollywood,"Communication, Shared interests",Religious views
straight_female,gay,Something Serious,Somewhere in Between,Night Owl,Country,"Shared interests, Independence, Trust and honesty",Smoking
straight_female,straight_female,Something Casual,Extrovert,Night Owl,Romantic Bollywood,"Shared interests, Trust and honesty, Emotional support",Religious views
straight_male,straight_male,Something Casual,Somewhere in Between,Night Owl,Rock,"Communication, Independence, Trust and honesty, Emotional support, Mutual respect, Shared interests",Smoking
straight_male,straight_male,Something Serious,Somewhere in Between,Morning Person,Country,"Mutual respect, Communication, Trust and honesty, Independence, Emotional support, Shared interests",Political views
straight_female,queer,Something Serious,Somewhere in Between,Night Owl,Country,Independence,Political views
straight_male,straight_female,Something Casual,Somewhere in Between,Morning Person,Classical,"Emotional support, Independence, Trust and honesty, Shared interests",Religious views
straight_male,straight_male,Something Casual,Extrovert,Night Owl,Rock,"Mutual respect, Emotional support, Communication, Trust and honesty, Independence",Religious views
straight_female,straight_female,Something Casual,Somewhere in Between,Morning Person,Rock,"Trust and honesty, Communication",Smoking
straight_male,straight_male,Something Serious,Somewhere in Between,Night Owl,Pop,"Emotional support, Independence",Smoking
straight_male,straight_male,Something Casual,Somewhere in Between,Night Owl,Romantic Bollywood,"Shared interests, Emotional support, Communication, Trust and honesty, Independence",Religious views
straight_female,straight_female,Something Serious,Introvert,Morning Person,Pop,"Communication, Mutual respect, Shared interests, Independence",Drinking
straight_female,straight_female,Something Serious,Somewhere in Between,Night Owl,Romantic Bollywood,"Emotional support, Mutual respect, Independence, Trust and honesty",Drinking
straight_female,straight_female,Something Casual,Somewhere in Between,Night Owl,Classical,"Independence, Communication, Trust and honesty, Shared interests, Emotional support, Mutual respect",Smoking
straight_male,straight_female,Something Casual,Somewhere in Between,Night Owl,Hollywood Rizz Songs,"Trust and honesty, Mutual respect, Independence, Emotional support, Communication, Shared interests",Smoking
straight_female,straight_male,Something Casual,Extrovert,Night Owl,Pop,"Independence, Communication, Mutual respect, Shared interests, Trust and honesty",Political views
straight_female,straight_male,Something Serious,Somewhere in Between,Night Owl,Hollywood Rizz Songs,"Independence, Emotional support",Religious views
straight_female,straight_female,Something Serious,Somewhere in Between,Morning Person,Hollywood Rizz Songs,Trust and honesty,Political views
straight_female,straight_male,Something Serious,Somewhere in Between,Night Owl,Rock,Mutual respect,Smoking
straight_male,straight_female,Something Serious,Somewhere in Between,Night Owl,Pop,"Shared interests, Independence, Trust and honesty",Drinking
straight_male,straight_female,Something Serious,Extrovert,Night Owl,Rock,"Independence, Shared interests",Religious views
straight_male,straight_male,Something Serious,Somewhere in Between,Morning Person,Romantic Bollywood,"Emotional support, Mutual respect, Shared interests, Independence, Communication, Trust and honesty",Smoking
straight_female,straight_male,Something Casual,Introvert,Night Owl,Rock,"Mutual respect, Emotional support",Smoking
straight_female,straight_male,Something Casual,Introvert,Night Owl,Rock,Shared interests,Religious views
straight_male,straight_female,Something Serious,Extrovert,Night Owl,Pop,"Trust and honesty, Mutual respect, Shared interests, Independence, Emotional support, Communication",Political views
straight_male,straight_female,Something Casual,Somewhere in Between,Night Owl,Country,Trust and honesty,Religious views
straight_female,straight_female,Something Casual,Extrovert,Night Owl,Rock,"Communication, Independence, Mutual respect, Trust and honesty, Emotional support",Drinking
straight_female,straight_male,Something Casual,Introvert,Night Owl,Romantic Bollywood,"Mutual respect, Emotional support, Trust and honesty, Shared interests",Political views
straight_female,straight_male,Something Serious,Introvert,Night Owl,Rock,"Trust and honesty, Mutual respect, Communication, Independence, Emotional support, Shared interests",Religious views
straight_male,straight_male,Something Casual,Extrovert,Morning Person,Romantic Bollywood,"Mutual respect, Trust and honesty, Shared interests",Political views
straight_male,straight_female,Something Serious,Somewhere in Between,Night Owl,Romantic Bollywood,"Emotional support, Shared interests",Drinking
straight_female,straight_female,Something Casual,Extrovert,Morning Person,Romantic Bollywood,Emotional support,Political views
straight_female,straight_male,Something Serious,Somewhere in Between,Morning Person,Romantic Bollywood,"Emotional support, Shared interests, Trust and honesty, Independence, Mutual respect",Religious views
straight_male,straight_female,Something Casual,Somewhere in Between,Night Owl,Country,"Independence, Emotional support, Trust and honesty, Shared interests, Communication, Mutual respect",Religious views
straight_female,straight_female,Something Serious,Somewhere in Between,Night Owl,Romantic Bollywood,"Shared interests, Emotional support, Mutual respect, Communication",Smoking
straight_male,straight_male,Something Serious,Introvert,Night Owl,Classical,"Trust and honesty, Independence, Communication, Mutual respect",Drinking
straight_male,straight_female,Something Serious,Somewhere in Between,Morning Person,Pop,"Trust and honesty, Communication, Independence, Emotional support, Mutual respect",Political views
straight_male,straight_male,Something Serious,Somewhere in Between,Night Owl,Pop,"Communication, Emotional support",Drinking
straight_male,straight_male,Something Casual,Introvert,Night Owl,Romantic Bollywood,"Mutual respect, Trust and honesty, Independence, Shared interests",Religious views
straight_female,straight_female,Something Casual,Somewhere in Between,Night Owl,Country,"Communication, Mutual respect, Independence, Emotional support, Trust and honesty, Shared interests",Drinking
straight_male,straight_male,Something Serious,Extrovert,Night Owl,Rock,Mutual respect,Political views
straight_female,straight_male,Something Serious,Extrovert,Night Owl,Romantic Bollywood,"Mutual respect, Shared interests, Trust and honesty, Independence, Communication",Religious views
straight_male,straight_male,Something Serious,Extrovert,Night Owl,Rock,"Independence, Shared interests, Communication, Trust and honesty, Emotional support",Religious views
straight_male,straight_male,Something Serious,Extrovert,Morning Person,Hollywood Rizz Songs,"Independence, Trust and honesty, Shared interests, Emotional support",Drinking
straight_male,straight_male,Something Serious,Extrovert,Morning Person,Pop,"Emotional support, Independence, Shared interests, Trust and honesty",Smoking
straight_male,straight_male,Something Serious,Somewhere in Between,Morning Person,Classical,"Mutual respect, Communication",Political views
straight_male,straight_female,Something Serious,Extrovert,Night Owl,Hollywood Rizz Songs,"Emotional support, Independence, Communication, Mutual respect",Drinking
straight_male,straight_female,Something Casual,Somewhere in Between,Night Owl,Classical,"Independence, Trust and honesty, Communication, Mutual respect",Drinking
straight_female,straight_female,Something Serious,Somewhere in Between,Morning Person,Pop,"Shared interests, Communication, Mutual respect",Drinking
straight_female,straight_female,Something Casual,Extrovert,Night Owl,Romantic Bollywood,"Shared interests, Emotional support",Smoking
straight_male,straight_female,Something Casual,Somewhere in Between,Night Owl,Hollywood Rizz Songs,"Mutual respect, Shared interests, Emotional support, Independence, Trust and honesty",Political views
straight_female,straight_female,Something Serious,Somewhere in Between,Night Owl,Pop,"Independence, Mutual respect, Shared interests, Emotional support",Religious views
straight_male,straight_female,Something Casual,Introvert,Night Owl,Country,"Shared interests, Trust and honesty, Emotional support",Political views
straight_male,straight_male,Something Serious,Somewhere in Between,Night Owl,Classical,"Independence, Emotional support, Communication",Religious views
